payload_k,num_images,mean_psnr,mean_BER,recover_rate,embed_time_ms,decode_time_ms
5,100,35.4315234375,0.006000000238418579,0.97,112.01445817947388,63.91934871673584
10,100,36.7186181640625,0.0,1.0,73.31855058670044,39.09297227859497
15,100,36.4629638671875,0.0,1.0,68.22330713272095,38.933162689208984
20,100,36.63779296875,0.0005000000074505806,0.99,67.99333095550537,39.66820001602173
25,100,37.41953369140625,0.001599999964237213,0.96,67.25468158721924,39.74802494049072
30,100,36.73248046875,0.0006666667014360428,0.98,68.52949380874634,39.86830472946167
