angle_deg,num_images,mean_BER,recover_rate
1,100,0.04214285850524902,0.57
2,100,0.06535714626312256,0.31
3,100,0.09821429252624511,0.19
4,100,0.13071428298950194,0.1
5,100,0.17035715103149415,0.01
6,100,0.20321428298950195,0.0
7,100,0.2360714340209961,0.0
8,100,0.27535715103149416,0.0
9,100,0.3303571319580078,0.0
10,100,0.35785713195800783,0.0
