factor,num_images,mean_BER,recover_rate
0.6,100,0.006428571939468383,0.84
0.7,100,0.001785714328289032,0.95
0.8,100,0.000357142873108387,0.99
0.9,100,0.001428571492433548,0.97
1,100,0.0032142859697341917,0.92
1.1,100,0.007857142686843873,0.86
1.2,100,0.011785714626312256,0.81
1.3,100,0.023571429252624513,0.7
1.4,100,0.030714287757873535,0.59
