factor,num_images,mean_BER,recover_rate
0.6,100,0.007142857313156128,0.86
0.7,100,0.004642857313156128,0.89
0.8,100,0.002142857313156128,0.95
0.9,100,0.004285714328289032,0.91
1,100,0.002857142984867096,0.93
1.1,100,0.006071428656578064,0.86
1.2,100,0.0175,0.78
1.3,100,0.020714287757873536,0.8
1.4,100,0.03857142925262451,0.63
