quality,num_images,mean_BER,recover_rate
10,100,0.5074999618530274,0.0
20,100,0.5078571319580079,0.0
30,100,0.5099999618530273,0.0
40,100,0.48821426391601563,0.0
50,100,0.5014285659790039,0.0
60,100,0.4817856979370117,0.0
70,100,0.5010713958740234,0.0
80,100,0.5028572082519531,0.0
90,100,0.45714286804199217,0.0
