sigma,num_images,mean_BER,recover_rate
1,100,0.4539285659790039,0.0
2,100,0.5078571319580079,0.0
3,100,0.4967856979370117,0.0
4,100,0.5099999618530273,0.0
5,100,0.5042857360839844,0.0
6,100,0.4971428680419922,0.0
7,100,0.5067856979370117,0.0
8,100,0.4928571319580078,0.0
9,100,0.4971428680419922,0.0
